DATE,RAINFALL,TMEAN,PET,HEATINDEX,07_TMEAN,08_TMEAN
20180701,0,24.3,78.70759869,10.95386317,25.7483871,25.65483871
20180702,0,24.7,83.69350351,11.22800509,,
20180703,0,25.2,113.4409477,11.57390284,,
20180704,0,25.6,131.6168271,11.85317567,,
20180705,0.2,25.7,151.2159827,11.92334642,,
20180706,1.2,24.2,123.9606055,10.88568787,,
20180707,0,25.3,146.8121219,11.64350898,,
20180708,0.4,25.3,136.2892646,11.64350898,,
20180709,0,25.4,119.148012,11.71325668,,
20180710,0,25.6,110.3223053,11.85317567,,
20180711,6.6,23.5,70.03105703,10.41252739,,
20180712,0,24.3,76.11440311,10.95386317,,
20180713,0,25,86.82760956,11.43511632,,
20180714,0,25.8,97.30003864,11.99365766,,
20180715,0,25.7,121.4141706,11.92334642,,
20180716,14.6,23,90.88787263,10.07895154,,
20180717,0,24.5,128.1740823,11.09064656,,
20180718,0,26.7,174.1387316,12.63273725,,
20180719,0,27.6,198.3387498,13.28298749,,
20180720,0,27.1,172.8451582,12.92036908,,
20180721,0.4,24.6,106.6683085,11.15925407,,
20180722,0,24.4,93.44983713,11.02218283,,
20180723,0.2,25.5,92.8813323,11.78314567,,
20180724,0,26.1,97.44530023,12.20543161,,
20180725,0,27,113.2956261,12.84825514,,
20180726,0,26.3,103.9759867,12.34731184,,
20180727,0,26.1,128.0733253,12.20543161,,
20180728,0,27.3,164.3796157,13.06500743,,
20180729,0,28,203.3736325,13.57552622,,
20180730,0,29.1,234.4954907,14.39108038,,
20180731,0,29.3,243.8672721,14.54109094,,
20180801,0,29.4,229.0704272,14.61629405,,
20180802,0,28.4,175.2716782,13.87022098,,
20180803,0,28.3,156.0327245,13.79634598,,
20180804,0,27.8,125.1965649,13.42898641,,
20180805,0,28.2,127.3371894,13.72260503,,
20180806,0,27.7,123.7782365,13.35591922,,
20180807,0,27.9,127.5284125,13.50218882,,
20180808,0,27.7,157.3230155,13.35591922,,
20180809,0,27.1,160.2535403,12.92036908,,
20180810,0,27.2,183.979952,12.99261992,,
20180811,0,27.9,202.7239375,13.50218882,,
20180812,0,26.1,163.4949341,12.20543161,,
20180813,0,26.8,166.3194372,12.70443898,,
20180814,18.2,23.1,85.81667682,10.14537142,,
20180815,38.2,23,76.18296118,10.07895154,,
20180816,0,24.3,78.62380322,10.95386317,,
20180817,0,24.8,81.66724406,11.29689932,,
20180818,0,26,99.43673984,12.13470051,,
20180819,0,26.3,103.9759867,12.34731184,,
20180820,0,26.4,133.2350899,12.41846046,,
20180821,0,26.6,150.2610237,12.56117341,,
20180822,0,26.5,168.1216368,12.48974773,,
20180823,0,26.7,174.1387316,12.63273725,,
20180824,0,26.1,163.4949341,12.20543161,,
20180825,11.2,23.2,101.0079166,10.21193925,,
20180826,1,17.7,34.18032756,6.779395,,
20180827,0,19.8,45.38559477,8.033605687,,
20180828,0,22.1,56.63249412,9.487882896,,
20180829,0,23.3,65.82187622,10.27865473,,
20180830,0,24.6,82.11829713,11.15925407,,
20180831,0,24.3,79.100145,10.95386317,,
