DATE,RAINFALL,TMEAN
20180701,0,24.3
20180702,0,24.7
20180703,0,25.2
20180704,0,25.6
20180705,0.2,25.7
20180706,1.2,24.2
20180707,0,25.3
20180708,0.4,25.3
20180709,0,25.4
20180710,0,25.6
20180711,6.6,23.5
20180712,0,24.3
20180713,0,25
20180714,0,25.8
20180715,0,25.7
20180716,14.6,23
20180717,0,24.5
20180718,0,26.7
20180719,0,27.6
20180720,0,27.1
20180721,0.4,24.6
20180722,0,24.4
20180723,0.2,25.5
20180724,0,26.1
20180725,0,27
20180726,0,26.3
20180727,0,26.1
20180728,0,27.3
20180729,0,28
20180730,0,29.1
20180731,0,29.3
20180801,0,29.4
20180802,0,28.4
20180803,0,28.3
20180804,0,27.8
20180805,0,28.2
20180806,0,27.7
20180807,0,27.9
20180808,0,27.7
20180809,0,27.1
20180810,0,27.2
20180811,0,27.9
20180812,0,26.1
20180813,0,26.8
20180814,18.2,23.1
20180815,38.2,23
20180816,0,24.3
20180817,0,24.8
20180818,0,26
20180819,0,26.3
20180820,0,26.4
20180821,0,26.6
20180822,0,26.5
20180823,0,26.7
20180824,0,26.1
20180825,11.2,23.2
20180826,1,17.7
20180827,0,19.8
20180828,0,22.1
20180829,0,23.3
20180830,0,24.6
20180831,0,24.3
